# t (s)	mx ()	my ()	mz ()	E_total (J)
0	1	0	0	1.9199196000000005e-20
1e-09	0.9999238586425782	0.008726203441619873	0	1.9182901515625003e-20
2e-09	0.9996954345703125	0.017449748516082764	0	1.9134034703125003e-20
3.0000000000000004e-09	0.9993148040771485	0.026167979240417482	0	1.9052607453125004e-20
4e-09	0.9987820434570313	0.03487823486328125	0	1.8938643062500006e-20
5e-09	0.9980973815917968	0.043577871322631835	0	1.8792173812500003e-20
6.000000000000001e-09	0.9972608947753906	0.052264232635498044	0	1.8613253562500003e-20
7.000000000000001e-09	0.9962730407714844	0.06093467235565186	0	1.8401923125000005e-20
8e-09	0.9951341247558594	0.06958656311035157	0	1.8158262687500002e-20
9.000000000000001e-09	0.9938441467285156	0.07821722984313965	0	1.7882328250000004e-20
1e-08	0.9924040222167969	0.08682409286499024	0	1.7574219250000003e-20
1.1000000000000001e-08	0.9908135986328125	0.09540451049804688	0	1.7234025875e-20
1.2000000000000002e-08	0.9890737915039063	0.10395584106445313	0	1.6861842250000003e-20
1.3e-08	0.9871849822998047	0.11247552871704102	0	1.6457794250000002e-20
1.4000000000000001e-08	0.9851477813720703	0.12096095085144043	0	1.6022000250000005e-20
1.5000000000000002e-08	0.9829629516601562	0.1294095230102539	0	1.5554588500000002e-20
1.6e-08	0.9806308746337891	0.1378186798095703	0	1.5055711750000003e-20
1.7e-08	0.9781524658203125	0.14618585586547853	0	1.4525513500000004e-20
1.8000000000000002e-08	0.9755282592773438	0.15450849533081054	0	1.3964157500000002e-20
1.9e-08	0.9727593994140625	0.16278409957885742	0	1.3371817000000004e-20
2e-08	0.9698462677001953	0.17101009368896483	0	1.2748663500000004e-20
2.1000000000000003e-08	0.9667901611328125	0.17918399810791016	0	1.2094898500000002e-20
2.2000000000000002e-08	0.9635919189453125	0.18730327606201172	0	1.1410717500000002e-20
2.3e-08	0.9602524566650391	0.19536556243896486	0	1.0696323000000001e-20
2.4000000000000003e-08	0.9567727661132812	0.20336833953857422	0	9.951945000000003e-21
2.5000000000000002e-08	0.9531539154052734	0.21130912780761718	0	9.177797000000002e-21
2.6e-08	0.9493971252441407	0.21918556213378906	0	8.374118e-21
2.7e-08	0.9455032348632812	0.2269952392578125	0	7.541158000000001e-21
2.8000000000000003e-08	0.9414738464355469	0.23473581314086914	0	6.679168000000002e-21
2.9e-08	0.9373098754882813	0.24240478515625	0	5.788412000000003e-21
3.0000000000000004e-08	0.9330126953125	0.25	0	4.869154000000003e-21
3.1e-08	0.9285836029052734	0.2575190353393555	0	3.9216870000000005e-21
3.2e-08	0.9240240478515624	0.2649596405029297	0	2.946288e-21
3.3000000000000004e-08	0.9193351745605469	0.27231952667236325	0	1.943259e-21
3.4e-08	0.914518814086914	0.27959648132324216	0	9.129059999999997e-22
3.5e-08	0.9095761108398438	0.286788215637207	0	-1.4445799999999896e-22
3.6000000000000005e-08	0.9045084381103515	0.2938926315307617	0	-1.2285140000000014e-21
3.7e-08	0.8993177795410157	0.30090755462646485	0	-2.338924000000001e-21
3.8e-08	0.8940054321289063	0.30783073425292967	0	-3.475357999999999e-21
3.9000000000000005e-08	0.888572998046875	0.31466020584106447	0	-4.637466000000001e-21
4e-08	0.8830221557617187	0.3213938140869141	0	-5.824892000000001e-21
4.1e-08	0.877354736328125	0.3280294799804688	0	-7.037280000000002e-21
4.2000000000000006e-08	0.8715723419189453	0.334565315246582	0	-8.274256000000001e-21
4.3e-08	0.8656768798828125	0.3409992218017578	0	-9.535446000000002e-21
4.4000000000000004e-08	0.8596699523925782	0.347329216003418	0	-1.0820465999999999e-20
4.5000000000000006e-08	0.853553466796875	0.35355339050292967	0	-1.2128916000000001e-20
4.6e-08	0.8473291015625	0.3596698760986328	0	-1.346041e-20
4.7000000000000004e-08	0.8409991455078125	0.36567684173583986	0	-1.4814534000000002e-20
4.8000000000000006e-08	0.8345652770996094	0.3715724182128906	0	-1.6190876000000003e-20
4.9e-08	0.8280294799804687	0.37735477447509763	0	-1.7589030000000004e-20
5.0000000000000004e-08	0.821393814086914	0.38302223205566405	0	-1.900855e-20
5.1e-08	0.8146601867675781	0.388572998046875	0	-2.0449013000000005e-20
5.2e-08	0.807830810546875	0.39400535583496094	0	-2.1909981000000007e-20
5.3000000000000005e-08	0.8009074401855468	0.39931774139404297	0	-2.339101300000001e-20
5.4e-08	0.7938926696777344	0.40450851440429686	0	-2.4891647000000005e-20
5.5e-08	0.7867881774902343	0.4095760345458984	0	-2.6411440000000007e-20
5.6000000000000005e-08	0.7795964813232422	0.41451881408691404	0	-2.794992100000001e-20
5.7e-08	0.7723194885253907	0.41933528900146483	0	-2.9506605000000005e-20
5.8e-08	0.7649596405029296	0.4240240478515625	0	-3.1081048000000006e-20
5.9000000000000006e-08	0.7575190734863281	0.42858367919921875	0	-3.267275200000001e-20
6.000000000000001e-08	0.75	0.4330126953125	0	-3.4281232000000004e-20
6.1e-08	0.74240478515625	0.43730987548828126	0	-3.590601200000001e-20
6.2e-08	0.7347357940673828	0.4414738464355469	0	-3.754658500000001e-20
6.300000000000001e-08	0.7269952392578125	0.4455032730102539	0	-3.9202453000000016e-20
6.4e-08	0.7191856384277344	0.44939701080322264	0	-4.087310800000001e-20
6.5e-08	0.7113091278076172	0.45315391540527344	0	-4.255805300000001e-20
6.600000000000001e-08	0.7033683776855468	0.4567727279663086	0	-4.4256764e-20
6.7e-08	0.6953656005859375	0.46025245666503906	0	-4.5968721000000014e-20
6.8e-08	0.6873033142089844	0.4635919189453125	0	-4.769342100000001e-20
6.900000000000001e-08	0.6791839599609375	0.4667902755737305	0	-4.9430327000000014e-20
7e-08	0.6710099792480468	0.4698463439941406	0	-5.117889800000001e-20
7.1e-08	0.6627841186523438	0.4727592849731445	0	-5.2938607000000014e-20
7.200000000000001e-08	0.6545084381103515	0.47552825927734377	0	-5.470894300000001e-20
7.3e-08	0.6461859130859375	0.4781524276733398	0	-5.648934400000002e-20
7.4e-08	0.6378186798095703	0.4806308364868164	0	-5.827926300000001e-20
7.500000000000001e-08	0.6294095611572266	0.48296295166015624	0	-6.007816400000001e-20
7.6e-08	0.6209609603881836	0.48514785766601565	0	-6.188549600000001e-20
7.7e-08	0.6124755477905274	0.48718505859375	0	-6.370070000000001e-20
7.800000000000001e-08	0.6039558792114258	0.4890738296508789	0	-6.552325200000001e-20
7.9e-08	0.5954044723510742	0.4908136749267578	0	-6.735258e-20
8e-08	0.5868241119384766	0.4924039077758789	0	-6.918811400000002e-20
8.100000000000001e-08	0.5782172012329102	0.49384418487548826	0	-7.102929700000002e-20
8.2e-08	0.5695865631103516	0.49513404846191406	0	-7.287560200000002e-20
8.3e-08	0.5609346771240235	0.4962731170654297	0	-7.472642700000002e-20
8.400000000000001e-08	0.5522642135620117	0.4972609710693359	0	-7.658120900000001e-20
8.500000000000001e-08	0.5435778427124024	0.4980973434448242	0	-7.843941600000001e-20
8.6e-08	0.5348782348632812	0.49878204345703125	0	-8.030045100000002e-20
8.700000000000001e-08	0.5261680221557617	0.4993147277832031	0	-8.216376000000002e-20
8.800000000000001e-08	0.517449722290039	0.4996954345703125	0	-8.402878100000002e-20
8.9e-08	0.5087261581420899	0.4999238586425781	0	-8.589493200000002e-20
9.000000000000001e-08	0.5	0.5	0	-8.776166400000002e-20
9.100000000000001e-08	0.4912738037109375	0.4999238586425781	0	-8.962837900000002e-20
9.2e-08	0.48255027770996095	0.4996954345703125	0	-9.149454600000002e-20
9.300000000000001e-08	0.47383201599121094	0.4993147277832031	0	-9.335955900000002e-20
9.400000000000001e-08	0.46512176513671877	0.49878204345703125	0	-9.522287700000002e-20
9.5e-08	0.456422119140625	0.4980973434448242	0	-9.708392700000002e-20
9.600000000000001e-08	0.4477357864379883	0.4972609710693359	0	-9.894211200000003e-20
9.700000000000001e-08	0.43906532287597655	0.4962731170654297	0	-1.0079692200000003e-19
9.8e-08	0.43041339874267576	0.49513404846191406	0	-1.0264774600000004e-19
9.9e-08	0.4217827606201172	0.49384418487548826	0	-1.0449403000000003e-19
1.0000000000000001e-07	0.41317588806152344	0.4924039077758789	0	-1.0633523600000003e-19
1.01e-07	0.4045954895019531	0.4908136749267578	0	-1.0817076100000002e-19
1.02e-07	0.3960441589355469	0.4890738296508789	0	-1.1000008400000002e-19
1.0300000000000001e-07	0.3875244903564453	0.48718505859375	0	-1.1182261300000002e-19
1.04e-07	0.3790390396118164	0.48514785766601565	0	-1.1363784000000002e-19
1.05e-07	0.37059043884277343	0.48296295166015624	0	-1.1544518600000003e-19
1.0600000000000001e-07	0.3621813201904297	0.4806308364868164	0	-1.1724408000000002e-19
1.07e-07	0.35381412506103516	0.4781524276733398	0	-1.1903400500000003e-19
1.08e-07	0.34549148559570314	0.47552825927734377	0	-1.2081439900000003e-19
1.0900000000000001e-07	0.33721588134765623	0.4727592849731445	0	-1.2258471400000004e-19
1.1e-07	0.32898990631103514	0.4698463439941406	0	-1.2434442600000003e-19
1.11e-07	0.3208160400390625	0.4667902755737305	0	-1.2609301200000003e-19
1.1200000000000001e-07	0.3126966857910156	0.4635919189453125	0	-1.2782992000000003e-19
1.13e-07	0.3046344566345215	0.46025245666503906	0	-1.2955460800000001e-19
1.14e-07	0.29663169860839844	0.4567727279663086	0	-1.3126656500000002e-19
1.1500000000000001e-07	0.2886908721923828	0.45315391540527344	0	-1.3296527400000003e-19
1.16e-07	0.2808143997192383	0.44939701080322264	0	-1.3465022300000005e-19
1.17e-07	0.2730047607421875	0.4455032730102539	0	-1.3632088400000002e-19
1.1800000000000001e-07	0.26526418685913083	0.4414738464355469	0	-1.3797677200000004e-19
1.1900000000000001e-07	0.25759517669677734	0.43730987548828126	0	-1.3961731500000003e-19
1.2000000000000002e-07	0.25	0.4330126953125	0	-1.4124209400000003e-19
1.21e-07	0.24248098373413085	0.42858367919921875	0	-1.4285058000000003e-19
1.22e-07	0.2350403594970703	0.4240240478515625	0	-1.4444229400000005e-19
1.23e-07	0.2276804542541504	0.41933528900146483	0	-1.4601674000000003e-19
1.24e-07	0.2204035186767578	0.41451881408691404	0	-1.4757342200000004e-19
1.2500000000000002e-07	0.21321178436279298	0.4095760345458984	0	-1.4911191250000003e-19
1.2600000000000002e-07	0.20610736846923827	0.40450851440429686	0	-1.5063168200000005e-19
1.27e-07	0.19909248352050782	0.39931774139404297	0	-1.5213231800000004e-19
1.28e-07	0.1921692657470703	0.39400535583496094	0	-1.5361334100000003e-19
1.29e-07	0.18533981323242188	0.388572998046875	0	-1.5507432200000001e-19
1.3e-07	0.17860618591308594	0.38302223205566405	0	-1.5651478600000003e-19
1.31e-07	0.1719704818725586	0.37735477447509763	0	-1.5793430300000003e-19
1.3200000000000002e-07	0.16543468475341797	0.3715724182128906	0	-1.5933244450000004e-19
