# t (s)	mx ()	my ()	mz ()
1.0115624846440778e-11	0.00013413945188976527	0.00010367404222111096	0.00016114101924442488
2.0440345527156312e-11	0.00026667553567342106	0.0002088677874811664	0.00014769248494420642
3.07185737909125e-11	0.0003936103069147466	0.0003114524850460428	0.00014089176075795842
4.020539395304702e-11	0.0005058204982192253	0.00040352044119870267	0.00013819694811096196
5.080490826612483e-11	0.0006252591059469797	0.0005029442696947806	0.00013777921263037645
6.102396102746879e-11	0.0007343791164345567	0.0005950958909146055	0.00013902705138945387
7.09378238055872e-11	0.0008345726824239202	0.0006808806618681194	0.0001411699364888877
8.050176454709053e-11	0.0009259743852865054	0.0007602152949955106	0.00014371555115161517
9.095953943607516e-11	0.0010200679987083087	0.000843088682052308	0.00014672614869960888
1.0101942134821056e-10	0.0011048818207492525	0.0009190062601832986	0.00014963704891502905
1.1046730650056728e-10	0.001179516628893885	0.0009869414453297265	0.00015226383945581102
1.2084146605384573e-10	0.001255956205317588	0.0010578391194308175	0.0001549498750568443
1.3033818292021688e-10	0.0013209686341582824	0.001119406133035198	0.00015719028682157046
1.4076910073614866e-10	0.001387031760339922	0.0011834434603824363	0.000159395920721378
1.5232743837497277e-10	0.001453880290570007	0.0012501316443642267	0.00016153335555839924
1.6255263584600549e-10	0.001507627522482239	0.001305508669897296	0.00016317264584859179
1.7088186055127054e-10	0.001547790529794967	0.0013481825729933573	0.00016434879360186525
1.830243242262661e-10	0.001600742919974922	0.0014066194843782294	0.00016583480410953177
1.9305585144303889e-10	0.0016396767633454542	0.0014516476177060225	0.00016688301226136634
2.0026169137350916e-10	0.0016650682854326938	0.0014822462874703756	0.00016754834537726753
2.1194756972424405e-10	0.0017018665697058658	0.0015288921341837021	0.00016849199578935548
2.2031955281691765e-10	0.001725035328497144	0.0015601343596085156	0.0001690780759552828
2.3380990011124236e-10	0.0017570683374501868	0.0016068413625130694	0.00016988885557613003
2.4347452997909146e-10	0.0017762019201425293	0.0016376789944320324	0.00017038364974519856
2.537234730906076e-10	0.0017932169315684086	0.0016681134484977198	0.00017084210883151635
2.645934773754081e-10	0.0018077762576613682	0.0016979705050666047	0.00017126406767561638
2.702684743005953e-10	0.0018140213618062547	0.0017126104289794841	0.00017146140964453008
2.8196120279755993e-10	0.001824107980777857	0.0017408311799256883	0.00017182489024019008
2.9411642815211996e-10	0.0018308442219893272	0.0017675258573963616	0.0001721487561579679
3.003719693690784e-10	0.0018329067334138325	0.001780270505642228	0.0001722966092722909
3.1324695647382147e-10	0.0018343267273230987	0.0018044987388204142	0.0001725659135804187
3.2447149763687437e-10	0.0018326490846452363	0.0018235419085016523	0.00017276651155025423
3.339107684181354e-10	0.001829273980153466	0.001838151443072595	0.0001729138102006522
3.4411107698008654e-10	0.0018237321722076926	0.0018525761877941193	0.000173053334558994
3.53181230309531e-10	0.0018172448970956933	0.0018642811807891232	0.00017316183253174026
3.632803102167437e-10	0.0018083987672868845	0.0018761432168430806	0.0001732674048224988
3.7272974451475586e-10	0.0017986630414001323	0.0018861809486124365	0.0001733526742959151
3.823051331792076e-10	0.0017874450328908265	0.0018953749514472693	0.0001734270786358206
3.9198674554521153e-10	0.00177479721528107	0.0019037220165350759	0.00017349095995825408
4.0178477338426036e-10	0.001760746391592944	0.0019112551757692658	0.0001735453210171227
4.1104407353400017e-10	0.001746378461728084	0.001917584464053928	0.00017358764902910634
4.2069546502458445e-10	0.0017303438368986063	0.001923406571209493	0.0001736234060537224
4.3101332669358356e-10	0.0017120819186849283	0.0019288107777250055	0.00017365276904754274
4.443677998290595e-10	0.0016868474396566425	0.001934642133810725	0.0001736785575186119
4.502591871538753e-10	0.0016751775548454913	0.001936822616283122	0.00017368591891200037
