# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)
1.4450327039504202e-09	0.01000867210339541	0.12968997852424596	0.0010782048186582347	-0
1.4550255617993074e-09	0.01310910799738354	0.13077675752513487	0.0018920664579158556	3e-09
1.4649829488482223e-09	0.009268228705129618	0.13238981189645924	0.002454018841339429	9e-09
1.4750580984877849e-09	0.014189086749365648	0.1344080531610297	0.002801710793420199	1.2e-08
1.4850012379764363e-09	0.012058724885310543	0.13668283462758532	0.0029653116312585346	1.8e-08
1.494976467007826e-09	0.009891307658437194	0.1389717147017743	0.002983323717398353	2.4e-08
1.5050025813158175e-09	0.015408589938300531	0.14114462322242602	0.0028788251820622353	2.7e-08
1.514976179075667e-09	0.01296601548410352	0.1431571046120994	0.0026684050944090357	3.3e-08
1.524984672473724e-09	0.010393512740819065	0.1449996558528518	0.0023640963323926646	3.9e-08
1.5349828341559444e-09	0.015363919945737468	0.14669018878449624	0.0019779601125211287	4.2e-08
1.5450141875803495e-09	0.012124507506844571	0.14831399074472004	0.0015176768855636386	4.8e-08
1.5550034706171072e-09	0.008366507959272164	0.149961835040559	0.0009948685033382273	5.4e-08
1.5650060186873953e-09	0.011975807384798242	0.15174750307454107	0.0004100689485171455	5.7e-08
1.5750011082928306e-09	0.01505017233738028	0.153779979773261	-0.00022844566226239756	6e-08
1.5849774699592048e-09	0.009705776784181126	0.15611273085438668	-0.000894080444965475	6.6e-08
1.5950003141801844e-09	0.011715777496457802	0.15868184327610818	-0.0015167774292247	6.9e-08
1.6050216263572907e-09	0.013186121267981988	0.1612456495963286	-0.0020171413253004754	7.2e-08
1.6150023014042715e-09	0.014155201452888533	0.16343176341478388	-0.0023308474797396855	7.5e-08
1.6250393639211623e-09	0.014859981761700045	0.16478552377996838	-0.002397802349158027	7.8e-08
1.6350173705060925e-09	0.015435834296325803	0.164748965639965	-0.0021757997557784346	8.1e-08
1.6449791129560062e-09	0.008318092593509697	0.16285338336217614	-0.0017107911334759125	8.7e-08
1.6549751180215577e-09	0.00946610100377051	0.15886719709295186	-0.0011424522971357485	9e-08
1.6650122246492387e-09	0.011128015274617433	0.15298901091390135	-0.0006634355293978409	9.3e-08
1.674977705618952e-09	0.013122491143307189	0.14591985976063668	-0.0004376889387610385	9.6e-08
1.6849764103072803e-09	0.015211684296313812	0.13862203661725656	-0.0005196794311283614	9.9e-08
1.6949810833360522e-09	0.00908175713889491	0.13245283924994627	-0.0005498923112460813	1.05e-07
1.704993357547628e-09	0.010514043871686595	0.12837611949748282	0.0003286593379580904	1.08e-07
1.7150107108746125e-09	0.012321902164541668	0.12661357947089114	0.002399597982994934	1.11e-07
1.7250059343065211e-09	0.015104764102718451	0.12707269215162237	0.005036318934502442	1.14e-07
1.7349869070987007e-09	0.011346630591072127	0.12964426276725963	0.0076165784787101225	1.2e-07
1.7450031279187581e-09	0.009175747457328153	0.13400103675827296	0.009802323661759232	1.2599999999999996e-07
1.7549780141328984e-09	0.008677508835708229	0.13911872668912698	0.011369359516675908	1.3199999999999994e-07
1.764993932815006e-09	0.01013724134104191	0.1435983953869413	0.012340436047327309	1.379999999999999e-07
1.7749789462891638e-09	0.013320638997615672	0.14637009896089145	0.012848108362823666	1.4399999999999989e-07
1.7849899402520895e-09	0.00991222104295532	0.14706052169350134	0.012892243435902773	1.5299999999999985e-07
1.7950161343568244e-09	0.014926672450217376	0.14560479124777442	0.012478745053933973	1.5899999999999982e-07
1.804994407930312e-09	0.012041069435464376	0.14230679435205365	0.011808022534683318	1.6799999999999978e-07
1.8149706006686862e-09	0.009059447492830148	0.137668905146946	0.011208093876191778	1.7699999999999975e-07
1.8250062313779798e-09	0.01420579968785947	0.132182452430023	0.010963737628211272	1.8299999999999972e-07
1.8349777827318575e-09	0.011203273831190227	0.12646605607164205	0.011168161404372547	1.9199999999999968e-07
1.8449797739504045e-09	0.015023089788192742	0.12109292681863812	0.011516778711129078	1.9799999999999966e-07
1.8549958875128015e-09	0.010616795463618137	0.11680141297434404	0.011688600982621115	2.0699999999999962e-07
1.8650414727083367e-09	0.014389598616702153	0.11433462112297621	0.011585610374620059	2.129999999999996e-07
1.8750034584334402e-09	0.010953024810922153	0.11393609840201044	0.011223009834266133	2.2199999999999955e-07
1.884970627780136e-09	0.014865832150802163	0.11509266161965481	0.010865130921009715	2.2799999999999953e-07
1.8949734388660422e-09	0.01145878381485555	0.11727145331781834	0.010893840452542708	2.369999999999995e-07
1.9049954723816393e-09	0.008559597030369846	0.119382629694311	0.011354230007628795	2.4599999999999953e-07
1.9149787889973555e-09	0.013790635556743749	0.12101693893462595	0.011954290693541642	2.5199999999999956e-07
1.9249743276225384e-09	0.011871376299904934	0.12249010906706624	0.012491031339454277	2.609999999999996e-07
1.9349937449545185e-09	0.010807520748355767	0.12342345831670555	0.013223835433630203	2.6999999999999964e-07
