# t (s)	mx ()	my ()	mz ()
5.20407523825968e-10	-0.94049066	-0.007925937	0.081676334
5.306388192036113e-10	-0.9164703	0.120903075	0.082952365
5.402192122929805e-10	-0.8838807	0.23511961	0.07555754
5.505131917811986e-10	-0.84920776	0.34139472	0.058925316
5.601646434952629e-10	-0.82927245	0.4159783	0.03614459
5.705088812370053e-10	-0.8299987	0.4587866	0.0065503563
5.801433662275169e-10	-0.85165554	0.45615798	-0.022150096
5.904774093528174e-10	-0.88646746	0.4028972	-0.049718898
6.001297465193664e-10	-0.91289073	0.30961552	-0.06850125
6.104589960610426e-10	-0.9225247	0.18225527	-0.076926544
6.200578234688487e-10	-0.91539013	0.06173748	-0.07254863
6.303261408039255e-10	-0.9009572	-0.046137407	-0.056588106
6.405852254320673e-10	-0.8937305	-0.11788724	-0.032643743
6.501654014142352e-10	-0.9016991	-0.14813441	-0.0069117374
6.604474138310568e-10	-0.926546	-0.13873714	0.02060686
6.700046205945148e-10	-0.9542918	-0.08938524	0.04264682
6.80193068186203e-10	-0.97117	-0.00079927314	0.05781443
6.903298604655983e-10	-0.9660207	0.10369285	0.061471347
7.004682522498605e-10	-0.94490135	0.20240627	0.054461878
7.106317833842338e-10	-0.9209404	0.2816769	0.039533548
7.201372801262665e-10	-0.90730023	0.33061406	0.02080542
7.303452285488901e-10	-0.9078921	0.34941325	-0.002446875
7.405803903846105e-10	-0.92279667	0.32819632	-0.02650459
7.501487264946716e-10	-0.9423511	0.27113837	-0.04628592
7.604214478482269e-10	-0.96133006	0.1768907	-0.060618956
7.700107140921266e-10	-0.9726436	0.07278216	-0.064631
7.802699463102507e-10	-0.9750577	-0.03593127	-0.05724571
7.905246928631453e-10	-0.96876836	-0.120986685	-0.038323954
8.000921179124681e-10	-0.9612858	-0.16402811	-0.013509514
8.103333157686262e-10	-0.9594451	-0.16356066	0.015394551
8.205646813125001e-10	-0.9661639	-0.115236774	0.04126967
8.301131326517383e-10	-0.9746686	-0.03386458	0.05861871
8.403643759905022e-10	-0.9761222	0.07742401	0.06683631
8.506384596169746e-10	-0.96467185	0.19291687	0.06331275
8.602476401888881e-10	-0.94594085	0.28623202	0.050659776
8.705582132395933e-10	-0.9257557	0.3561237	0.030064464
8.801945731032571e-10	-0.9143869	0.38575524	0.0075591765
8.905281691716544e-10	-0.91588175	0.3773678	-0.016526468
9.001694579172625e-10	-0.9294721	0.3347593	-0.035744466
9.104746212267169e-10	-0.94910675	0.2588606	-0.049773425
9.200589528128673e-10	-0.96371233	0.17135835	-0.054915637
9.30300423405855e-10	-0.97065103	0.07594696	-0.051463872
9.405247374300334e-10	-0.97059214	-0.004928888	-0.03971155
9.500683430863393e-10	-0.96864283	-0.055668812	-0.02318296
9.602998088773067e-10	-0.9693608	-0.07621217	-0.0025598824
9.705388970403876e-10	-0.9756051	-0.060432896	0.017568043
9.800968275604786e-10	-0.9835951	-0.016613845	0.032775827
9.903407953056946e-10	-0.98809314	0.052543003	0.042317394
1e-09	-0.9846119	0.12604514	0.04326937
