# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)	ext_dwspeed (m/s)
1.0100148277059257e-09	0.015844807028770447	0.00014392705634236336	0.0018811291083693504	-3e-09	-2.970253423718523
1.0200383995461264e-09	0.01646171323955059	0.0003738545347005129	0.0026084762066602707	0	299.29450776899216
1.030026102873425e-09	0.009450815618038177	0.0007059917552396655	0.003100047120824456	6e-09	600.7387087280275
1.0400257231909805e-09	0.018086876720190048	0.0011191196972504258	0.00341871683485806	5.999999999999999e-09	-8.27212020341237e-14
1.050026705292023e-09	0.010991796851158142	0.0015473912935703993	0.003662018571048975	1.2e-08	599.9410797240186
1.060026867904111e-09	0.01934896595776081	0.0019471821142360568	0.003889058716595173	1.1999999999999998e-08	-1.6543343236301672e-13
1.0700221133089124e-09	0.011925941333174706	0.0022840891033411026	0.004093321040272713	1.8e-08	600.2854114134966
1.080018312092242e-09	0.020011670887470245	0.0025961645878851414	0.004240183159708977	1.8e-08	600.2854114134966
1.0900132962099447e-09	0.012419242411851883	0.0029222166631370783	0.004315963946282864	2.4e-08	300.13231481615617
1.1000110089176827e-09	0.020433630794286728	0.0033006262965500355	0.004343201871961355	2.4e-08	300.13231481615617
1.1100407636671312e-09	0.02066894620656967	0.0036869365721940994	0.0043470291420817375	2.6999999999999997e-08	149.79427660602693
1.120036275029009e-09	0.013062743470072746	0.003966501448303461	0.004321043845266104	3.3e-08	600.2694392288494
1.130033250775766e-09	0.02104315347969532	0.003994155675172806	0.004228878300637007	3.3e-08	600.2694392288494
1.1400266317897185e-09	0.013338258489966393	0.003614827524870634	0.004036488942801952	3.9e-08	300.14471836705064
1.1500202512753378e-09	0.02118113823235035	0.002761377952992916	0.003747733775526285	3.9e-08	300.14471836705064
1.1600098845242889e-09	0.013352157548069954	0.0014290823601186275	0.0034085167571902275	4.5e-08	300.2514195109088
1.1700314482565667e-09	0.013361088931560516	-0.0002831961028277874	0.0030840937979519367	4.8e-08	299.3544800136808
1.1800243934479261e-09	0.021232591941952705	-0.002205624245107174	0.0028345263563096523	4.8e-08	299.3544800136808
1.19001575054983e-09	0.013627273961901665	-0.004163376986980438	0.0026979693211615086	5.4e-08	300.2356505597207
1.2000388518799958e-09	0.014044743031263351	-0.00595387676730752	0.0026813268195837736	5.7e-08	299.30855741935864
1.2100397051939386e-09	0.022445127367973328	-0.007412261795252562	0.0027691081631928682	5.6999999999999994e-08	-6.616880272804748e-13
1.2200314639936605e-09	0.015383782796561718	-0.008438961580395699	0.0029271598905324936	6.3e-08	600.4948798570867
1.2300149304797315e-09	0.008450163528323174	-0.008987873792648315	0.0031046653166413307	6.9e-08	600.9936536944631
1.2400279677517084e-09	0.009473058395087719	-0.009089091792702675	0.0032515348866581917	7.2e-08	299.6093910881552
1.2500216192895174e-09	0.01061019767075777	-0.008825340308248997	0.003332535270601511	7.5e-08	300.1905748514538
1.260012268228216e-09	0.011907752603292465	-0.008336406201124191	0.0033497961703687906	7.8e-08	300.28079441161714
1.270010615172499e-09	0.021230727434158325	-0.007776007521897554	0.003336649388074875	7.8e-08	300.28079441161714
1.280027044730567e-09	0.023013627156615257	-0.007281011436134577	0.003298770170658827	8.1e-08	149.8892580513011
1.2900373663084012e-09	0.017255792394280434	-0.006942717358469963	0.0031974734738469124	8.7e-08	599.3813438806753
1.3000188649847977e-09	0.011721774004399776	-0.006775315850973129	0.002971502486616373	9.3e-08	601.1121370168929
1.3100097986160204e-09	0.021985400468111038	-0.0067257690243422985	0.002575681544840336	9.3e-08	601.1121370168929
1.3200096162325836e-09	0.008851461112499237	-0.006795740686357021	0.0020226524211466312	1.02e-07	450.20819320118363
1.3300354085175764e-09	0.011205141432583332	-0.006899832282215357	0.0013672506902366877	1.05e-07	299.2282220419193
1.3400134337619974e-09	0.013191056437790394	-0.007051928900182247	0.0006862334557808936	1.08e-07	300.6606945274483
1.3500147658919553e-09	0.02258867211639881	-0.007295338902622461	-6.26459950581193e-06	1.08e-07	300.6606945274483
1.3600350244499365e-09	0.015939276665449142	-0.0076746344566345215	-0.0007044622907415032	1.14e-07	299.67648892224855
1.3700410938032847e-09	0.008876588195562363	-0.008249836973845959	-0.0014182596933096647	1.2e-07	599.6360596873445
1.380023826365452e-09	0.009282964281737804	-0.009047924540936947	-0.0021293628960847855	1.2299999999999998e-07	300.5189191754399
1.3900329694238e-09	0.017282964661717415	-0.010092800483107567	-0.002799076959490776	1.2299999999999998e-07	300.5189191754399
1.4000352697474995e-09	0.017315665259957314	-0.011447323486208916	-0.0033987555652856827	1.2599999999999996e-07	149.91422371318427
1.410034169309026e-09	0.009492616169154644	-0.013199783861637115	-0.0039151497185230255	1.3199999999999994e-07	600.0660335749976
