# t (s)	mx ()	my ()	mz ()	ext_dwpos (m)	ext_dwspeed (m/s)
7.225193866745145e-10	0.02326602623110912	0.0800609029588922	0.0007275617720769285	6e-09	8.30427544320402
7.325292982334e-10	0.015253223356653432	0.08098249440162382	0.0010698355671427348	0	-599.4058953172237
7.425133721095536e-10	0.023409967095592517	0.08225116454956843	0.001054492567643205	0	-599.4058953172237
7.525132154589698e-10	0.015689712463773074	0.08365461687750327	0.0007222295695729831	-5.999999999999999e-09	-300.2414357642998
7.625248644610226e-10	0.00768043718939685	0.08499321366682967	0.00012807217155945462	-1.2e-08	-599.3018731249741
7.724885963266171e-10	0.02290583580687931	0.08611292680341452	-0.0006554329270932784	-9e-09	301.09200452886694
7.825221035389761e-10	0.013557017175226263	0.08693327811364801	-0.0015857846240646734	-1.5e-08	-597.9962811617232
7.924896437486796e-10	0.011249044790708538	0.08741674598508134	-0.002601945927293515	-1.8e-08	-300.97696491652556
8.02520183665231e-10	0.016054148704805482	0.08759419668153098	-0.003668062377793245	-1.8e-08	-300.97696491652556
8.1249529995992e-10	0.012059697332633294	0.08753048574160535	-0.004749446381873535	-2.1e-08	-149.95759040957742
8.2248566721134e-10	0.015213109341890019	0.08729804124751614	-0.005803716046503392	-2.1e-08	-149.95759040957742
8.324958606906932e-10	0.009610361325699361	0.0869285102158237	-0.006746768240779417	-2.4e-08	-149.99579463710504
8.424842988888767e-10	0.019060603907850922	0.08644542893070045	-0.0074948975534150095	-2.1e-08	300.34725554447186
8.524811008352414e-10	0.011797932919967962	0.08590197196009143	-0.008020411423646687	-2.4e-08	-300.0959723015174
8.625223953401445e-10	0.011751523612449256	0.08538152066499395	-0.008404428071781468	-2.4e-08	-300.0959723015174
8.724830349220901e-10	0.011071261516330377	0.08495862556226326	-0.008788173730493006	-2.4e-08	-300.0959723015174
8.824878548011811e-10	0.00982084430632044	0.08461175910051462	-0.009270898749801098	-2.4e-08	-300.0959723015174
8.924769410409214e-10	0.00807230400316643	0.08424385021529977	-0.009897245320880585	-2.4e-08	-300.0959723015174
9.025098210879649e-10	0.02177531909895251	0.0837215266296417	-0.010649615238983716	-1.8e-08	119.93111096367429
9.124965757913466e-10	0.01916686397728728	0.0828482660557936	-0.011457241416510456	-1.8e-08	119.93111096367429
9.224805740655114e-10	0.016133656622578242	0.08147965197650817	-0.012226546278535224	-1.8e-08	119.93111096367429
9.324855461042665e-10	0.012684021905708597	0.07952377539159526	-0.01283978586817522	-1.8e-08	119.93111096367429
9.42501520272864e-10	0.016826847567229027	0.07715820827948414	-0.013167451876523302	-1.5e-08	75.01556725883738
9.52506904408424e-10	0.012785924351517384	0.07469986803307796	-0.013168852304381869	-1.5e-08	75.01556725883738
9.625210777119917e-10	0.016571332966576625	0.07256040085149652	-0.01283876065644114	-1.1999999999999998e-08	149.8534625014533
9.724860724083331e-10	0.02037135700769704	0.07105873286043064	-0.01226975108874833	-8.999999999999998e-09	301.05384813716216
9.82513987855847e-10	0.016300569052016385	0.07031224985591701	-0.011567335133521758	-8.999999999999998e-09	301.05384813716216
9.92477914826063e-10	0.012450972896752165	0.07034880879265244	-0.010900889707926312	-8.999999999999998e-09	301.05384813716216
1.0024887101350703e-09	0.008848257581215265	0.07100725624020042	-0.010412474858245622	-8.999999999999998e-09	301.05384813716216
1.0124871561491527e-09	0.01350906910259097	0.0720229397587556	-0.01015085541544657	-5.9999999999999975e-09	74.99796804101618
1.0224916154911467e-09	0.010538763509599711	0.07310356219728018	-0.010072328176180995	-5.9999999999999975e-09	74.99796804101618
1.03248663013745e-09	0.01580604367509625	0.07403972263781514	-0.010089071721978527	-2.9999999999999975e-09	150.00394519153122
1.0424835465042706e-09	0.021345711796661542	0.07476500403626428	-0.010092959377935024	2.481541837659083e-24	300.0925375305618
1.0525104310769842e-09	0.011282344274241357	0.07528800225293406	-0.010031897691251979	-2.9999999999999975e-09	-299.19562534548254
1.0625266445132626e-09	0.009528762241293409	0.07571920517126957	-0.009873188850717408	-2.9999999999999975e-09	-299.19562534548254
1.0725082838245505e-09	0.008195856229855063	0.07623003728935746	-0.009529720179429413	-2.9999999999999975e-09	-299.19562534548254
