# t (s)	mx ()	my ()	mz ()	B_ext_perRegionx (T)	B_ext_perRegiony (T)	B_ext_perRegionz (T)
3.1023088020027753e-09	-1.1874362826347351e-08	-2.4010660126805305e-10	0.0001230601337738335	0	0	0
3.203560150715462e-09	0.022500576451420784	-1.2303855328354985e-05	0.0001229175104526803	0.009999999776482582	9.999999974752427e-07	0
3.303937140114186e-09	0.06364500522613525	-6.38548590359278e-05	0.00012176733434898779	0.019999999552965164	1.9999999949504854e-06	0
3.404685732404293e-09	0.12033894658088684	-0.0001800579484552145	0.00011810185969807208	0.029999999329447746	3.000000106112566e-06	0
3.5051629903430845e-09	0.18842218816280365	-0.0003784329746849835	0.00011018876830348745	0.03999999910593033	3.999999989900971e-06	0
3.6055129302544187e-09	0.2640206217765808	-0.00066442193929106	9.639406925998628e-05	0.05000000074505806	4.999999873689376e-06	0
3.705658065331125e-09	0.3440060615539551	-0.0010168460430577397	7.592757901875302e-05	0.05999999865889549	6.000000212225132e-06	0
3.805923188639599e-09	0.4273817539215088	-0.0013616272481158376	5.076879824628122e-05	0.07000000029802322	7.000000096013537e-06	0
3.9059996384365554e-09	0.5138593912124634	-0.0015534268459305167	2.8769878554157913e-05	0.07999999821186066	7.999999979801942e-06	0
4.006046307908548e-09	0.60239577293396	-0.0014690915122628212	1.879496267065406e-05	0.08999999612569809	9.000000318337698e-06	0
4.106118761251144e-09	0.6887191534042358	-0.0011576535180211067	9.663188393460587e-06	0.10000000149011612	9.999999747378752e-06	0
